"platform","platform_label","n","spec","reference_rho","raw_sensor_rho","epa_study_calibrated_rho","proxy_rho","corrected_rho","stabilized"
"A10","Kunak Model A10",40,"const",0.819746642311635,0.704212256559921,0.709844858796491,0.702021291827973,0.808307908156348,FALSE
"A10","Kunak Model A10",40,"u_add",0.819746642311635,0.704212256559921,0.709844858796491,0.698286591408959,0.806194295329117,FALSE
"AIRPRO","Kunak Air Pro",40,"const",0.819746642311635,0.770246155245367,0.759547849317832,0.769683539713669,0.817984603469432,FALSE
"AIRPRO","Kunak Air Pro",40,"u_add",0.819746642311635,0.770246155245367,0.759547849317832,0.766732744233069,0.788214101376359,FALSE
