scenario_id,u_distribution,distortion,n,rho_true,tau2,naive_bias,naive_rmse,lar_bias,lar_rmse,melar_bias,melar_rmse,melar_jel_coverage,melar_ajel_coverage,melar_jel_length,melar_ajel_length,finite_point,finite_jel,finite_ajel
L01,Uniform,Linear,40,0.5,0.1,-0.1917796310937906,0.2387915353928029,-0.0550334704062647,0.1534058608006215,0.0028113909071243,0.1577433286675761,0.933,0.948,0.7408221714023562,0.7765557129401461,1.0,1.0,1.0
L02,Normal,Quadratic,40,0.5,0.2,-0.3139731157216728,0.3633666764661356,-0.0951580330775062,0.1793084640863264,0.019582657139999,0.1897663577829844,0.943,0.95,0.8785126960899622,0.9180057181410264,1.0,0.999,0.999
L03,Beta,Periodic,40,0.6,0.2,-0.365869675919143,0.3935917393056264,-0.1323893942842167,0.19257794069897,0.0021007693344895,0.1708734232377517,0.959,0.966,0.8095919032685335,0.8449546424654962,1.0,0.996,0.996
L04,Uniform,Linear,80,0.5,0.1,-0.2038656226384836,0.2282061693963275,-0.0657369483900311,0.115713904184585,-0.015040681232134,0.1045185059046527,0.966,0.969,0.4852057824851842,0.4995794731316247,1.0,1.0,1.0
L05,Normal,Quadratic,80,0.5,0.2,-0.3170632573703814,0.3436207096294308,-0.0947021741394541,0.1426433645561618,0.0047169841314419,0.1280130194623018,0.952,0.955,0.5657997650551335,0.5824605252869955,1.0,1.0,1.0
L06,Beta,Periodic,80,0.6,0.2,-0.3557265686391532,0.370882337936891,-0.1171305625748246,0.1502209599825967,-0.0012148786634037,0.1106405900897355,0.954,0.959,0.5038052104532371,0.5185338493029261,1.0,1.0,1.0
L07,Uniform,Linear,160,0.5,0.1,-0.2013642413818821,0.2127189956352997,-0.0591825883940341,0.0895199894722897,-0.0112863359482292,0.0736605571139109,0.954,0.959,0.3116483511348573,0.3168256374416811,1.0,1.0,1.0
L08,Normal,Quadratic,160,0.5,0.2,-0.3239875024557626,0.3374789228293404,-0.0947423662193239,0.1181940456369412,-0.0021966562384635,0.0835404060638785,0.957,0.958,0.3636138392597399,0.3696543188579566,1.0,1.0,1.0
L09,Beta,Periodic,160,0.6,0.2,-0.3551846212338355,0.3623157031330487,-0.1115656573475117,0.1280137698545881,-0.0027842779557084,0.0719263068766015,0.959,0.959,0.3228126077156329,0.3281751255236975,1.0,1.0,1.0
