scenario_id,scenario_family,platform,n_collocation,n_target,rho_true,truth_systematic,fit_systematic,error_scale,error_structure,latent_distribution,transport_shift,purpose,reps,point_mean,point_bias,point_rmse,proxy_mean,proxy_bias,proxy_rmse,stabilization_rate,raw_infeasible_rate,point_failure_rate,inference_failure_rate,wald_coverage,wald_avg_length,wald_finite_rate,jel_coverage,jel_avg_length,jel_finite_rate,ajel_coverage,ajel_avg_length,ajel_finite_rate,bc_jel_coverage,bc_jel_avg_length,bc_jel_finite_rate,bc_ajel_coverage,bc_ajel_avg_length,bc_ajel_finite_rate
P00,EPA_primary,A10,28,12,0.8197466423,u_add,u_add,1,full_epa,epa_empirical,none,Exact 70/30 EPA held-out-burn scale; finite-sample stress,1000,0.803446242361565,-0.0163003999500702,0.165964712182371,0.689239731862093,-0.130506910449542,0.204729087879838,0.107,0.107,0,0,0.839,0.525537445395839,1,0.891120507399577,0.589910404027925,0.946,0.898520084566596,0.610707161457044,0.946,0.918015102481122,0.730611250634093,0.927,0.932346723044397,0.769673687418646,0.946
P01,EPA_primary,A10,28,40,0.8197466423,u_add,u_add,1,full_epa,epa_empirical,none,EPA-sized calibration with modest deployment sample,1000,0.807342693018526,-0.0124039492931087,0.0866039283747528,0.703080476810051,-0.116666165501584,0.139705378948686,0.008,0.00800000000000001,0,0,0.951,0.328829420751045,1,0.955911823647295,0.343745906081563,0.998,0.963927855711423,0.353767150756679,0.998,0.962925851703407,0.362972696671594,0.998,0.963927855711423,0.365151215727568,0.998
P02,EPA_primary,A10,50,100,0.8197466423,u_add,u_add,1,full_epa,epa_empirical,none,Moderate sample scaling,1000,0.817620725549985,-0.00212591676165023,0.0531794690219952,0.709522065657797,-0.110224576653838,0.118623352280424,0.001,0.001,0,0,0.963,0.212073593337253,1,0.963963963963964,0.216917003838694,0.999,0.966966966966967,0.220554574655744,0.999,0.964964964964965,0.220722929264858,0.999,0.964964964964965,0.219978735733809,0.999
P03,EPA_primary,A10,100,300,0.8197466423,u_add,u_add,1,full_epa,epa_empirical,none,Large sample asymptotics,1000,0.816976889544419,-0.00276975276721614,0.0331058711128355,0.709545205931941,-0.110201436379694,0.113276318532331,0,0,0,0,0.956,0.12824035682602,1,0.953,0.129712608886823,1,0.954,0.130703887032115,1,0.958,0.130100194960646,1,0.952,0.130213486159736,1
P04,EPA_primary,A10,200,500,0.8197466423,u_add,u_add,1,full_epa,epa_empirical,none,Large-sample Wilks diagnostic,1000,0.818904626168691,-0.000842016142944034,0.0231921449686303,0.710236825799918,-0.109509816511717,0.111144315016894,0,0,0,0,0.957,0.095166884823895,1,0.956,0.0957197060330426,1,0.958,0.0961744913242863,1,0.96,0.0958946954437734,1,0.956,0.0954741047623978,1
P05,EPA_replication,AIRPRO,28,40,0.8197466423,u_add,u_add,1,full_epa,epa_empirical,none,Second EPA sensor-platform mechanism,1000,0.814187076963252,-0.00555956534838346,0.0526754468505354,0.792322061379278,-0.0274245809323566,0.0585106696124541,0,0,0,0,0.928,0.211881735731787,1,0.941,0.220394866734147,1,0.947,0.227878524575221,1,0.949,0.229073751061753,1,0.947,0.22887155837393,1
